ID,Lat,Long,_Prod_IDWmean,_Prod_Krigmean
"1",7623973.059,523833.486,12.1096752724998,11.9186220169067
"2",7623973.059,523843.460,12.0822305679321,11.888797754242
"3",7623963.100,523833.486,12.0970039367676,11.978370176539
"4",7623963.100,523843.460,12.1292607550996,11.9519147229172
"5",7623963.100,523853.434,12.0760135650635,11.8611050105613
"6",7623953.141,523823.512,11.5358584452498,11.9961819236193
"7",7623953.141,523833.486,12.1770648240639,12.0979598978209
"8",7623953.141,523843.460,12.1625061035156,12.0688771215615
"9",7623953.141,523853.434,11.9438887367117,11.9220852899075
"10",7623953.141,523863.409,11.9586305618286,11.7474036361922
"11",7623953.141,523873.383,11.8333320617676,11.5719750459945
"12",7623953.141,523883.357,11.9735164642334,11.4703204527776
"13",7623943.182,523813.537,12.868716913161,12.2261972427368
"14",7623943.182,523823.512,12.2296481666877,12.1792084392086
"15",7623943.182,523833.486,12.143515586853,12.2217882522182
"16",7623943.182,523843.460,12.2205152511597,12.199320720273
"17",7623943.182,523853.434,12.0620279523826,12.0782345259629
"18",7623943.182,523863.409,11.8723271899632,11.8437360624627
"19",7623943.182,523873.383,11.7472982406616,11.5739927162483
"20",7623943.182,523883.357,11.8203287124634,11.4550180741726
"21",7623943.182,523893.331,11.5195541381836,11.43758240056
"22",7623933.223,523813.537,12.1890850067139,12.3746957286189
"23",7623933.223,523823.512,12.4152889251709,12.373782760712
"24",7623933.223,523833.486,12.3544225692749,12.3650719552255
"25",7623933.223,523843.460,12.2780113220215,12.3522593678623
"26",7623933.223,523853.434,12.2089513045613,12.2722998011985
"27",7623933.223,523863.409,12.0776348114014,11.9772639821637
"28",7623933.223,523873.383,11.8405723571777,11.6054316076597
"29",7623933.223,523883.357,11.7592370334291,11.4497925637802
"30",7623933.223,523893.331,11.7071590423584,11.4388335655181
"31",7623933.223,523903.306,11.8937635421753,11.466772546922
"32",7623923.265,523803.563,11.8334810092073,12.5000638961792
"33",7623923.265,523813.537,12.450945854187,12.4552782288848
"34",7623923.265,523823.512,12.3578691482544,12.4887538034339
"35",7623923.265,523833.486,12.2773339650111,12.5546632221815
"36",7623923.265,523843.460,12.4208393096924,12.5264670889573
"37",7623923.265,523853.434,12.1121710380238,12.3838393178455
"38",7623923.265,523863.409,12.2786979626133,12.0863089924167
"39",7623923.265,523873.383,11.889684677124,11.7398036228839
"40",7623923.265,523883.357,11.8916792310697,11.5222364225764
"41",7623923.265,523893.331,11.5893008222592,11.4421420344452
"42",7623923.265,523903.306,11.7249116897583,11.4962975397472
"43",7623923.265,523913.280,11.8468046188354,11.5678845041273
"44",7623923.265,523923.254,11.4277877807617,11.5099016539298
"45",7623913.306,523803.563,12.3719482421875,12.5272603774079
"46",7623913.306,523813.537,12.4856767654419,12.440247837061
"47",7623913.306,523823.512,12.3213529586792,12.514015083757
"48",7623913.306,523833.486,12.5467854509279,12.6857948415312
"49",7623913.306,523843.460,12.5663785934448,12.6327017699646
"50",7623913.306,523853.434,12.1699552536011,12.4353940368994
"51",7623913.306,523863.409,12.0875046796924,12.1598711562802
"52",7623913.306,523873.383,11.3710461184326,11.8733780488101
"53",7623913.306,523883.357,11.9636739638323,11.6249314569609
"54",7623913.306,523893.331,11.8453884124756,11.4718304586136
"55",7623913.306,523903.306,12.1253719329834,11.570315324246
"56",7623913.306,523913.280,11.9103076977437,11.7359289456008
"57",7623913.306,523923.254,11.872370212861,11.6240372257073
"58",7623913.306,523933.228,11.1872034072876,11.3800721883019
"59",7623913.306,523943.203,11.8097019195557,11.2743578820191
"60",7623903.347,523793.589,12.122817173237,12.5196905136108
"61",7623903.347,523803.563,12.7320432662964,12.5225943498855
"62",7623903.347,523813.537,12.3957986831665,12.4560033863465
"63",7623903.347,523823.512,12.4084329605103,12.4918650816905
"64",7623903.347,523833.486,12.5392646789551,12.5893885374292
"65",7623903.347,523843.460,12.4316925609115,12.5654454476419
"66",7623903.347,523853.434,12.13267993927,12.4302279425846
"67",7623903.347,523863.409,12.8342638015747,12.1794231375228
"68",7623903.347,523873.383,11.9652185440063,11.9030824802146
"69",7623903.347,523883.357,11.9079707037783,11.711017488668
"70",7623903.347,523893.331,11.7699709469648,11.6293225062853
"71",7623903.347,523903.306,11.7807741165161,11.7257884924521
"72",7623903.347,523913.280,11.9750452844028,11.8663476271011
"73",7623903.347,523923.254,12.1853718580138,11.8276083795838
"74",7623903.347,523933.228,11.5027379989624,11.6564135014659
"75",7623903.347,523943.203,11.5456349203809,11.4821187800974
"76",7623903.347,523953.177,11.6780004501343,11.365140860643
"77",7623903.347,524013.023,11.4450178146362,10.8230277101645
"78",7623893.388,523793.589,12.3508402513162,12.4133290758979
"79",7623893.388,523803.563,12.4803133010864,12.4421876794632
"80",7623893.388,523813.537,12.2095144866546,12.423224211924
"81",7623893.388,523823.512,12.3768177032471,12.4258161710819
"82",7623893.388,523833.486,12.2355470657349,12.4283539755265
"83",7623893.388,523843.460,12.3067474365234,12.4304805194861
"84",7623893.388,523853.434,12.5293712615967,12.3734652450796
"85",7623893.388,523863.409,11.9199752807617,12.1499985947289
"86",7623893.388,523873.383,12.3362188339233,11.8890725944095
"87",7623893.388,523883.357,11.5934247970581,11.8030209807339
"88",7623893.388,523893.331,11.7854175567627,11.8333459373724
"89",7623893.388,523903.306,11.8698530197144,11.9232733961166
"90",7623893.388,523913.280,12.0468883514404,12.0130650328977
"91",7623893.388,523923.254,12.1069803237915,12.0581014391618
"92",7623893.388,523933.228,12.101279258728,12.0637041081793
"93",7623893.388,523943.203,12.0055694580078,11.8390548497497
"94",7623893.388,523953.177,11.3138809204102,11.5419051011661
"95",7623893.388,523963.151,11.5423545837402,11.6150262852153
"96",7623893.388,523973.126,11.9511184692383,11.7364971901295
"97",7623893.388,523983.100,11.932445526123,11.7615430492917
"98",7623893.388,523993.074,11.9941663742065,11.5948006452858
"99",7623893.388,524003.048,11.5788946151733,11.2768916226736
"100",7623893.388,524013.023,10.6876077651978,10.8675621639479
"101",7623893.388,524022.997,11.5247449874878,10.9039146038176
"102",7623893.388,524032.971,11.4404773712158,11.0716438596017
"103",7623893.388,524042.945,11.529224395752,11.038209748673
"104",7623893.388,524052.920,11.1402254104614,10.9646228233422
"105",7623893.388,524062.894,11.4010572433472,11.031438073222
"106",7623893.388,524072.868,11.4747219264225,11.2231425042365
"107",7623893.388,524082.842,11.6723604202271,11.3482301447487
"108",7623893.388,524092.817,11.6633892059326,11.5402076844355
"109",7623893.388,524162.637,12.637186050415,12.9523704718625
"110",7623883.430,523783.615,12.3811464309692,12.0667950843849
"111",7623883.430,523793.589,12.7089009457982,12.1907688877552
"112",7623883.430,523803.563,12.0334013078295,12.2635841187033
"113",7623883.430,523813.537,12.3845052719116,12.2943615888264
"114",7623883.430,523823.512,12.4230111343013,12.3376819810762
"115",7623883.430,523833.486,12.2917007356074,12.3711333819089
"116",7623883.430,523843.460,12.367467880249,12.3351422560682
"117",7623883.430,523853.434,11.9931043620218,12.2313647226956
"118",7623883.430,523863.409,12.4586209692707,12.0596391236148
"119",7623883.430,523873.383,11.8652486801147,11.910834274171
"120",7623883.430,523883.357,11.7365037864639,11.9326480256589
"121",7623883.430,523893.331,12.1622300565355,12.0566057526775
"122",7623883.430,523903.306,12.2677230834961,12.1333155270623
"123",7623883.430,523913.280,12.1580478893084,12.172135708946
"124",7623883.430,523923.254,12.2014238660095,12.2394184802878
"125",7623883.430,523933.228,12.2463798522949,12.2990572697315
"126",7623883.430,523943.203,12.3073275477485,12.1982492232688
"127",7623883.430,523953.177,12.16972045854,12.033291058459
"128",7623883.430,523963.151,12.1308288574219,11.999101118394
"129",7623883.430,523973.126,11.8315716601232,12.0091900318428
"130",7623883.430,523983.100,11.6540740005373,11.9713457867939
"131",7623883.430,523993.074,11.9061241149902,11.8608965986956
"132",7623883.430,524003.048,11.8132771230984,11.6260495149919
"133",7623883.430,524013.023,11.7885662073391,11.3438844353286
"134",7623883.430,524022.997,11.7108526229858,11.202802441029
"135",7623883.430,524032.971,11.5707615226379,11.1010601780075
"136",7623883.430,524042.945,11.3446203050969,10.9233387928148
"137",7623883.430,524052.920,11.2633384910906,10.7736125467612
"138",7623883.430,524062.894,11.1511316299438,10.7931692027863
"139",7623883.430,524072.868,11.3034772872925,10.9299066746342
"140",7623883.430,524082.842,11.4071846548225,11.0530457295319
"141",7623883.430,524092.817,11.6121741012548,11.2272030922375
"142",7623883.430,524102.791,11.4318273340723,11.5704753120888
"143",7623883.430,524112.765,11.7768979480584,11.9903642595295
"144",7623883.430,524122.740,12.076208114624,12.3159089463185
"145",7623883.430,524132.714,12.2938365936279,12.7007670945309
"146",7623883.430,524142.688,12.4314832947322,12.9620529011964
"147",7623883.430,524152.662,13.0187911987305,13.0798280441894
"148",7623883.430,524162.637,12.6112574507131,12.7830154871897
"149",7623883.430,524172.611,12.2024154663086,12.3533842182537
"150",7623873.471,523783.615,12.1636568520047,11.9204181830511
