ID,Lat,Long,_Declivmean,_IPTmean,_IRTmean,_Rugosmean,_Sombrmean
"1",7671184.470,407849.035,839654.083513055,0.375,6.02211043986181,6.32236134304026,64.8422185113559
"2",7671184.470,407858.999,839440.944323852,0.375,6.02027893204256,6.31679306179831,64.9313110112271
"3",7671184.470,407868.962,933347.300865972,0.268005062505775,6.6237953269609,7.1035800562354,52.3308119810437
"4",7671174.530,407849.035,827314.9375,0.375,5.91607999801636,6,70
"5",7671174.530,407858.999,827314.9375,0.375,5.91607999801636,6,70
"6",7671174.530,407868.962,918799.716127012,0.446188840266915,6.57385794091002,7.13902144427064,56.9012533908877
"7",7671174.530,407878.925,987952.4375,0.5,7.07106781005859,8,47
"8",7671164.589,407839.072,769441.539955101,0.712053483030375,5.77628323951668,4.9214288543028,101.278563225219
"9",7671164.589,407849.035,827314.9375,0.375,5.91607999801636,6,70
"10",7671164.589,407858.999,827314.9375,0.375,5.91607999801636,6,70
"11",7671164.589,407868.962,917908.181046503,0.445495092635984,6.56744778044316,7.12792148217574,57.028902954979
"12",7671164.589,407878.925,987952.4375,0.5,7.07106781005859,8,47
"13",7671164.589,407888.889,987952.4375,0.5,7.07106781005859,8,47
"14",7671154.649,407829.109,570272.502511419,0.569893998996753,4.55853738553969,4,112.516183963883
"15",7671154.649,407839.072,587032.619164538,0.610712894943535,4.69809438229939,4.38318515731739,81.4855553135457
"16",7671154.649,407849.035,606729.555845692,0.667309367760331,4.86787352934806,4.83076252895868,44.2767756370909
"17",7671154.649,407858.999,604625.307084714,0.670097819199493,4.85787428485414,4.81960872320203,44.0313919104446
"18",7671154.649,407868.962,680796.711161905,0.701094632768361,5.26145468748788,5.25990020592428,30.2776413749406
"19",7671154.649,407878.925,740394.292971071,0.725505920557602,5.57461532480074,5.59460351405225,19.3379404116009
"20",7671154.649,407888.889,738104.279118925,0.727591942339678,5.56077252868979,5.57235261504343,19.0820550729994
"21",7671154.649,407898.852,761453.946027715,0.471274239964094,5.52017964446288,5.69883040935672,18.8254326561324
"22",7671144.708,407829.109,458911.75,0.25,3.74165749549866,4,101
"23",7671144.708,407839.072,454904.882924551,0.531010118344367,3.91316270539483,4,67.278785798676
"24",7671144.708,407849.035,450000,0.875,4.12310552597046,4,26
"25",7671144.708,407858.999,450000,0.875,4.12310552597046,4,26
"26",7671144.708,407868.962,519816.517445151,0.875,4.37713080796347,4,12.1783613958431
"27",7671144.708,407878.925,576281.1875,0.875,4.58257579803467,4,1
"28",7671144.708,407888.889,576281.1875,0.875,4.58257579803467,4,1
"29",7671144.708,407898.852,617805.351537543,0.300909027906117,4.51011582186252,4.65610396810729,1
"30",7671144.708,407908.816,639570.1875,0,4.4721360206604,5,1
"31",7671144.708,407918.779,639570.1875,0,4.4721360206604,5,1
"32",7671134.768,407819.145,458911.75,0.25,3.74165749549866,4,101
"33",7671134.768,407829.109,458911.75,0.25,3.74165749549866,4,101
"34",7671134.768,407839.072,454954.351145492,0.5275408066954,3.91104532604188,4,67.695103196552
"35",7671134.768,407849.035,450000,0.875,4.12310552597046,4,26
"36",7671134.768,407858.999,450000,0.875,4.12310552597046,4,26
"37",7671134.768,407868.962,519115.920684469,0.875,4.37458170789076,4,12.3170591651926
"38",7671134.768,407878.925,576281.1875,0.875,4.58257579803467,4,1
"39",7671134.768,407888.889,576281.1875,0.875,4.58257579803467,4,1
"40",7671134.768,407898.852,617454.586546902,0.305758517814476,4.51072790938922,4.65056169392631,1
"41",7671134.768,407908.816,639570.1875,0,4.4721360206604,5,1
"42",7671134.768,407918.779,639570.1875,0,4.4721360206604,5,1
"43",7671134.768,407928.742,591862.929525121,0.0942250193060387,4.02049472462346,4.24619984555169,16.0760030889662
"44",7671124.827,407809.182,606592.2477641,0.10284479060097,4.36254023121574,4.31202270552127,92.0151810171281
"45",7671124.827,407819.145,484633.888428099,0.0719253692923053,3.80401968711919,4,63.9604768127995
"46",7671124.827,407829.109,484936.182833549,0.0698325819929112,3.80475258658987,4,63.5251770545255
"47",7671124.827,407839.072,455259.54902853,0.15532885618111,3.70540915587485,3.78687875387763,41.4968714936308
"48",7671124.827,407849.035,416491.320369067,0.260498689829513,3.57098567223561,3.50839895186361,13.7099737965903
"49",7671124.827,407858.999,416111.829547142,0.253539370338591,3.56473283209381,3.50283149627087,13.5707874067718
"50",7671124.827,407868.962,485497.928423248,0.178466767870108,4.05236890008368,3.76961916705168,12.6883308032473
"51",7671124.827,407878.925,544154.023681405,0.112515345926894,4.46887577328007,4,12.1831082597389
"52",7671124.827,407888.889,543801.535039404,0.104149615861869,4.46762829412045,4,12.3058056340259
"53",7671124.827,407898.852,629546.759217044,-0.17547737383338,4.71263637012465,4.64501735904849,15.7788206407667
"54",7671124.827,407908.816,677343.367906728,-0.328155113921377,4.85227940493395,5,17.8015418327745
"55",7671124.827,407918.779,677744.134280451,-0.331636778255934,4.85631265508577,5,17.9798030467038
"56",7671124.827,407928.742,656169.123661321,-0.241580969228129,4.69054283098479,5.05382767224195,25.1023616849943
"57",7671124.827,407938.706,649544.126495383,-0.213600106925047,4.64148056265715,5.08352034216015,27.5011220529609
"58",7671114.886,407799.219,711512.5,0.25,5.0990195274353,5,81
"59",7671114.886,407809.182,646084.839134908,0.126354722884091,4.69477000783794,4.67027926102424,61.8761971394061
"60",7671114.886,407819.145,513078.9375,-0.125,3.87298345565796,4,23
"61",7671114.886,407829.109,513078.9375,-0.125,3.87298345565796,4,23
"62",7671114.886,407839.072,456255.271521617,-0.233242744655433,3.49500695454115,3.56702902137827,13.4746384703219
"63",7671114.886,407849.035,381837.65625,-0.375,3,3,1
"64",7671114.886,407858.999,381837.65625,-0.375,3,3,1
"65",7671114.886,407868.962,452210.051238144,-0.509051561974034,3.72865019653648,3.53620624789614,12.796537453715
"66",7671114.886,407878.925,513078.9375,-0.625,4.35889911651611,4,23
"67",7671114.886,407888.889,513078.9375,-0.625,4.35889911651611,4,23
"68",7671114.886,407898.852,639971.010270565,-0.625,4.89429635051796,4.63946880342162,29.3946880342162
"69",7671114.886,407908.816,711512.5,-0.625,5.1961522102356,5,33
"70",7671114.886,407918.779,711512.5,-0.625,5.1961522102356,5,33
"71",7671114.886,407928.742,711512.5,-0.532161055264773,5.26696995447172,5.74271155788181,33
"72",7671114.886,407938.706,711512.5,-0.5,5.29150247573853,6,33
"73",7671104.946,407799.219,711512.5,0.25,5.0990195274353,5,81
"74",7671104.946,407809.182,647188.058022926,0.128439587348523,4.70158632527304,4.67583889959606,62.1986561765715
"75",7671104.946,407819.145,513078.9375,-0.125,3.87298345565796,4,23
"76",7671104.946,407829.109,513078.9375,-0.125,3.87298345565796,4,23
"77",7671104.946,407839.072,456984.390692448,-0.23185385397278,3.49985686889185,3.57258458410888,13.5968608503954
"78",7671104.946,407849.035,381837.65625,-0.375,3,3,1
"79",7671104.946,407858.999,381837.65625,-0.375,3,3,1
"80",7671104.946,407868.962,451481.950750744,-0.507664611769675,3.72111129490706,3.5306584470787,12.6744858357314
"81",7671104.946,407878.925,513078.9375,-0.625,4.35889911651611,4,23
"82",7671104.946,407888.889,513078.9375,-0.625,4.35889911651611,4,23
"83",7671104.946,407898.852,638869.525678682,-0.625,4.88964884346009,4.63391790478328,29.3391790478328
"84",7671104.946,407908.816,711512.5,-0.625,5.1961522102356,5,33
"85",7671104.946,407918.779,711512.5,-0.625,5.1961522102356,5,33
"86",7671104.946,407928.742,711512.5,-0.532853267505792,5.266441933504,5.73717385995367,33
"87",7671104.946,407938.706,711512.5,-0.5,5.29150247573853,6,33
"88",7671104.946,407948.669,711512.5,-0.5,5.29150247573853,6,33
"89",7671095.005,407789.255,685245.080125487,0.523838360504257,5.23710936779284,5,51.7905748795459
"90",7671095.005,407799.219,684843.614959556,0.528023642628015,5.23921990095283,5,51.3441447863451
"91",7671095.005,407809.182,631243.922928258,0.337831415955488,4.78964437586234,4.6813918645097,39.3691529876113
"92",7671095.005,407819.145,517549.241278043,-0.0772678820120523,3.82283572585632,4,14.5991472341212
"93",7671095.005,407829.109,517614.47346321,-0.0765713587971672,3.82210395321658,4,14.4765591483014
"94",7671095.005,407839.072,467846.81985043,-0.181338237332436,3.55182708504341,3.74395580460567,21.9858424252025
"95",7671095.005,407849.035,399801.564672328,-0.325177548380284,3.18498141735318,3.39857961295773,32.8863690366185
"96",7671095.005,407858.999,400053.228355928,-0.324479565435489,3.18757289710215,3.40416347651609,33.3330781212873
"97",7671095.005,407868.962,486057.886516871,-0.293678138159545,3.82823337357853,3.93484086438821,46.621704750967
"98",7671095.005,407878.925,564293.633584474,-0.261604921159799,4.40592738361227,4.41530866153166,58.7165448917226
"99",7671095.005,407888.889,564980.587536054,-0.256730623263305,4.40655818407361,4.42087928769908,59.1956187421209
"100",7671095.005,407898.852,682360.269550819,-0.0508921912229637,5.16238971117174,5.05482182576613,49.6143001405857
"101",7671095.005,407908.816,751894.940858299,0.0770441029905814,5.61446755165096,5.4320271403019,43.8006785075474
