"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.278313202187262,0.737426476098263,0.212295873886651,0.00992756457651742,0.0247592285615625,0.00721297707675497
2,5,"extratrees",0.290522791887777,0.718310467493826,0.224229191721185,0.00927679572080754,0.0253999876922528,0.00703002487937293
6,5,"variance",0.251405833706727,0.782154772399002,0.186042462516655,0.0107934830951194,0.0227247092069332,0.00776801256531764
6,5,"extratrees",0.25869414827395,0.772179880335937,0.195663627516602,0.00952873066946874,0.0220434678805597,0.00690645342452302
10,5,"variance",0.248089250813457,0.787105545496303,0.181415405982113,0.010869710815214,0.0224251517989043,0.00793853928730065
10,5,"extratrees",0.250430656691246,0.785229355012953,0.187587359557605,0.00995610340866292,0.0214402128770113,0.00712814153178789
