"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.227574455358535,0.823181500706985,0.178029899990829,0.00770369000103449,0.018465035581625,0.0062512057552519
2,5,"extratrees",0.239340427206787,0.806049931143801,0.189172700982715,0.00713579500904309,0.0199882405188309,0.00611738113354676
6,5,"variance",0.207975003749469,0.850689303104491,0.158294882606821,0.00853550825386009,0.0166822898762347,0.00590411064104136
6,5,"extratrees",0.220352438556691,0.834223299756472,0.172150240590313,0.00741579132280582,0.0174722802912823,0.00582292996536181
10,5,"variance",0.205764997892,0.853162365996309,0.153628737264443,0.00929467185839214,0.0170467463771366,0.00619964755013664
10,5,"extratrees",0.213916315113833,0.843259410531432,0.165938261101182,0.00724330129416474,0.0163107099684339,0.00551564825587298
