"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.208995012247258,0.853581659822516,0.15945471006875,0.00785682654956595,0.0148107942217083,0.00590567211014866
2,5,"extratrees",0.221666984839019,0.839119899512773,0.172114490323135,0.00794679976167884,0.015752011405779,0.00654503689142215
6,5,"variance",0.186806411400623,0.879594218743307,0.137195039095537,0.00748535907789388,0.0129854789819303,0.00536311200862632
6,5,"extratrees",0.192609052783384,0.873656143472058,0.144776405854461,0.00732212468052518,0.0131513903878222,0.00564312647937472
10,5,"variance",0.182360282997469,0.884905072217883,0.131936016772705,0.0074196322735452,0.0124948260411341,0.00542402804870965
10,5,"extratrees",0.186588840774322,0.880436411660995,0.13804055980044,0.00743629241132329,0.0128754968533977,0.00543806205814787
