"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.259643332507229,0.768049016900045,0.197460422577362,0.00973933955177112,0.0216205638040871,0.00720596567878226
2,5,"extratrees",0.270329524129389,0.749756970679579,0.207784899603744,0.00944447881897867,0.0232816179709326,0.00711758163480805
6,5,"variance",0.244440858837959,0.793586575023264,0.181297207783395,0.010292721556361,0.0208894257571894,0.00736570080658268
6,5,"extratrees",0.256628108805107,0.773847592997144,0.194896804058338,0.00969645670661555,0.0215168367925962,0.00715493721133328
10,5,"variance",0.242328348091914,0.796666099349162,0.177733368584985,0.010573182122277,0.0211987180818661,0.00741142821694271
10,5,"extratrees",0.251577004381541,0.782456734862157,0.189922562483712,0.00996870381058147,0.0212550417201972,0.00733801427418952
