"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.252132048351248,0.784808210951049,0.186418627788651,0.00973569244449226,0.0210261707812116,0.00758259640023821
2,5,"extratrees",0.26673442164181,0.764307082702529,0.20110443599787,0.00977381782179299,0.0212982499651485,0.00768856548499734
6,5,"variance",0.228286568987391,0.820804227165351,0.162633604239455,0.00973992339326122,0.0187678020221263,0.00707092133806721
6,5,"extratrees",0.232213172128847,0.817710983617005,0.169612328506178,0.00929689281367866,0.0180926849169927,0.0069623262955225
10,5,"variance",0.224997506906844,0.825073748933573,0.157586881403367,0.0102848155840112,0.0192484613560938,0.00722338721978824
10,5,"extratrees",0.223774412150284,0.829524260611227,0.161314847950778,0.00949659728957829,0.0176987352959319,0.00691520061931184
