"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.468396142942721,0.541016913847834,0.348269115103834,0.023503331521921,0.0419447838940361,0.0144151097320818
2,5,"extratrees",0.479828547812223,0.521947296452986,0.362001776986178,0.0218405042962802,0.0416652274481267,0.0134319233603096
6,5,"variance",0.446195732378584,0.582057133460021,0.324887840269144,0.0243487458849363,0.0400889110413128,0.0147256195604122
6,5,"extratrees",0.46190169361224,0.553956109261462,0.34367555817836,0.0227926878696385,0.0403354231915232,0.0138060310318488
10,5,"variance",0.439667882835343,0.593710368916868,0.31735827778151,0.0246658069243445,0.0390294299379009,0.0145925028040692
10,5,"extratrees",0.454047705205445,0.56822145546847,0.335318807713607,0.0232432231389823,0.0402233261074847,0.0139916121997015
