"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.474803316490459,0.542754057834268,0.35931774321573,0.0225564245088986,0.0364986112188104,0.0144616342110082
2,5,"extratrees",0.503633247543555,0.502369926625173,0.382329841711815,0.0233054765013431,0.037989502807096,0.0146344245196653
6,5,"variance",0.439941757902511,0.600499088866866,0.327468721740472,0.0216614941070401,0.0345546162515792,0.0137794784816197
6,5,"extratrees",0.453879830714522,0.584054807689663,0.343496626878183,0.0217404760709943,0.0352575922992801,0.0134646218864992
10,5,"variance",0.435477135305746,0.605406048101011,0.321337752469244,0.0220236678059622,0.0356566578320734,0.0140328130245675
10,5,"extratrees",0.437888384481456,0.608761877187835,0.328775365872062,0.0215928342775483,0.0344624674602714,0.0136203455774495
