"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.483261625691887,0.526275354284827,0.363703592114781,0.0226090143486185,0.0410167154750746,0.0137116954888403
2,5,"extratrees",0.512060281826466,0.482565450676436,0.385101932227878,0.0246062473581027,0.0459150231484014,0.0147186652752642
6,5,"variance",0.441028909520024,0.59710875887551,0.324310609001865,0.0223339771066016,0.0364562738784312,0.0138664961005773
6,5,"extratrees",0.460692537356783,0.570819795164905,0.345586301089706,0.023320415121665,0.0397581559142985,0.0136580922453386
10,5,"variance",0.428471193700207,0.617511610146564,0.311114879087079,0.022955961496141,0.0364911178956119,0.0137750289529456
10,5,"extratrees",0.442680346810995,0.599353342619856,0.329129118547502,0.0227589420074122,0.0378310270278658,0.0135335609093311
