"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.496267671814357,0.494740256826803,0.377931007225539,0.0198582829991291,0.0440494320247016,0.0124916939581453
2,5,"extratrees",0.517760690364039,0.466988717507807,0.395775423731638,0.0201615425138426,0.0443174304337061,0.0129458213279421
6,5,"variance",0.459130581787991,0.56061688168425,0.340895278380651,0.0208363266972085,0.0428150798721724,0.0124460779325927
6,5,"extratrees",0.473694094663884,0.542970518508804,0.35909634341096,0.0196455379182669,0.0425782849672697,0.0120480993264212
10,5,"variance",0.449721028884006,0.57606174224009,0.329297641523263,0.0222586763250008,0.0443570351371413,0.0133589792095884
10,5,"extratrees",0.459249440130443,0.56564337168108,0.345197389877499,0.0200423513632532,0.0430679863130159,0.0123323271820239
