"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.470761040797556,0.551331408524805,0.362732599692125,0.0203749066523589,0.0434081383173546,0.0148494833770655
2,5,"extratrees",0.490349516679625,0.54026095513723,0.377801667513712,0.0200485299620411,0.0428021525381742,0.0145639082445172
6,5,"variance",0.433833515412497,0.610228609291839,0.328227973110852,0.0210233399108946,0.0422878855288176,0.0144230656842473
6,5,"extratrees",0.438032028848732,0.616095149931277,0.335927981353451,0.0191088533972735,0.0416193604115621,0.014017853839465
10,5,"variance",0.425510384097085,0.622992179243699,0.317984003840419,0.0214815722914834,0.0420373898049078,0.0149115677580429
10,5,"extratrees",0.422116589562143,0.638690140350626,0.321685448744329,0.0194584169435419,0.041154133104416,0.0137665254043031
