"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.462904481368562,0.564423322384092,0.349829700475563,0.00496495027396462,0.0116350849140673,0.00361456555433611
2,5,"extratrees",0.484213330906178,0.536196991738792,0.368147580832283,0.0047550581640588,0.0107899249557503,0.00362033057401098
6,5,"variance",0.406297201980665,0.664993944909541,0.297659672729166,0.00545091460860365,0.010398590311375,0.00376647622329201
6,5,"extratrees",0.431590152375023,0.626332496574601,0.322758082997143,0.00547527038083566,0.0110288350951239,0.00410544765817385
11,5,"variance",0.341694825724933,0.765466158574895,0.233755145780592,0.00899723567577521,0.0138517754287069,0.00634572919186023
11,5,"extratrees",0.389125694212162,0.700023045886256,0.286349667364251,0.00612853354330146,0.0106060621746405,0.00421747548837455
