"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.468632240018356,0.553869396472593,0.354992328306768,0.00525025616370698,0.00999713546576678,0.00435079429028694
2,5,"extratrees",0.493523584587534,0.520577002756572,0.375843187476767,0.00556434178628217,0.00974096441954176,0.00428157560155877
6,5,"variance",0.4102721643765,0.657612688734513,0.30074411728687,0.00559977340394997,0.00919413595943976,0.00429556227939704
6,5,"extratrees",0.439579403685252,0.611469326457087,0.330331872900601,0.0051320825756312,0.0101013175895128,0.00405100744576368
11,5,"variance",0.348372733482533,0.75712141798542,0.239636639654408,0.00862215461084051,0.0122071744186242,0.00628373818725887
11,5,"extratrees",0.397227781903727,0.687078505463334,0.293833806704701,0.00562992623193271,0.00915892252049347,0.00441963371055009
