"sigma","C","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.312721701187308,0.25,0.574531145770148,0.317263790549918,0.438065689463388,0.0058263942812836,0.0117102567892045,0.00400155082398476
0.312721701187308,0.5,0.564657896404223,0.337143692837655,0.430315002006544,0.00567353991363111,0.0122248973253503,0.00404362893354423
0.312721701187308,1,0.556436375205319,0.353709568104152,0.423419713897032,0.00562163522513523,0.0128030013006737,0.00404419101120224
