"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.469027152831065,0.550663060378564,0.356107918560138,0.0049664717656848,0.0122321592028766,0.00356546871852095
2,5,"extratrees",0.493923746034355,0.515690531995854,0.37759436682585,0.00516434235190536,0.0123094881249232,0.00375995478747378
6,5,"variance",0.414706910945903,0.647681968355125,0.304883678144222,0.00560598959844631,0.0114777406335509,0.00363292238561553
6,5,"extratrees",0.436153416445365,0.614691511133322,0.326582557994092,0.00537360568541989,0.0110691774569614,0.00387689470643378
11,5,"variance",0.351869980580901,0.750679481956971,0.246049883771928,0.0100234487235142,0.0150435013221769,0.00791180570878492
11,5,"extratrees",0.399918161603955,0.678340800134222,0.294952295727569,0.00630183217976253,0.0111370745417515,0.004218222178988
