"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.462434588796438,0.564038545718462,0.349238847544488,0.00456591420922866,0.0121242337399284,0.00359820968259543
2,5,"extratrees",0.490064810155925,0.522156430850014,0.372740909376019,0.00468049037083536,0.0108125447529298,0.00342839314723219
6,5,"variance",0.407896989641828,0.660867450400744,0.298712187123518,0.00597487269064976,0.0119047919601708,0.00450472244795858
6,5,"extratrees",0.433514475179389,0.621998260000385,0.324134095170691,0.00509166448908891,0.0105897453147328,0.00373694403385208
11,5,"variance",0.359550341329988,0.739076428824795,0.251405001983682,0.010380835754653,0.0169225030848422,0.00848259664646347
11,5,"extratrees",0.385385462674909,0.706090337679985,0.283384492157186,0.00577130058132464,0.00988048438111795,0.00398037468417384
