"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.247920751810649,0.793696012437288,0.188676854798978,0.00292241957716285,0.00600531212965175,0.00195174883905562
2,5,"extratrees",0.264216682659146,0.77130980963857,0.203793074914198,0.00337591344045816,0.00671236597856303,0.00248932731098663
6,5,"variance",0.219559669273636,0.83465998206367,0.158812307717017,0.00331673432522701,0.00556677366090388,0.00216277834332617
6,5,"extratrees",0.222969931084086,0.831063958554597,0.164558369429701,0.00325112548045746,0.00553318760647731,0.00224200341045789
11,5,"variance",0.213621016015992,0.843111300223296,0.151736200761244,0.00304255753296259,0.00506733008470072,0.00192121134123184
11,5,"extratrees",0.203879453084035,0.859053077912386,0.147586744847835,0.0032656400137184,0.00493489205200459,0.00230211822893718
