"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.240656541287473,0.803973339377214,0.181521330446722,0.0032184601061432,0.00618182030718965,0.00206770016621246
2,5,"extratrees",0.251875402427725,0.787627928091976,0.192596386001886,0.00340345228083877,0.00637737598670263,0.00239625650126374
6,5,"variance",0.217176102557223,0.838712922391082,0.157377016971151,0.00303555410339267,0.00524495754199608,0.00199463547820364
6,5,"extratrees",0.220256109346279,0.835767070595914,0.163309558035133,0.00307106186732914,0.00523611627910447,0.00210446691252442
11,5,"variance",0.210330634243578,0.84823789557833,0.148667997517445,0.00284663633531369,0.00465366904855977,0.00198468853097836
11,5,"extratrees",0.200718208814527,0.864030695511982,0.145605815699754,0.00307199947785403,0.00472395614924231,0.00218442221576988
