"kmax","distance","kernel","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
5,2,"optimal",0.240139987083236,0.801774103958957,0.159149711836498,0.00607363753309876,0.0111691228999825,0.0035070112109216
7,2,"optimal",0.235013458412735,0.809427285019074,0.159148633652673,0.00572683588288672,0.0104865533636964,0.00342392846969052
9,2,"optimal",0.23291212501331,0.812654247603052,0.160168899280082,0.00548710978526966,0.01005610164726,0.00336683101598669
