"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.238840981558165,0.807029625020242,0.180198255642452,0.00297292879333275,0.00555762261055937,0.00191753085276066
2,5,"extratrees",0.250402999237771,0.790154056225797,0.191311719709864,0.00328273649451883,0.00609004453698532,0.00233262135649031
6,5,"variance",0.213349266341823,0.84447006329909,0.154569758351838,0.0032924357363352,0.00529877747492759,0.00203958073721765
6,5,"extratrees",0.217894194037987,0.839513540638447,0.161439756673845,0.00314118049007854,0.00514119401381058,0.00214747035702457
11,5,"variance",0.203209817350159,0.858664375215916,0.143655818024599,0.00360356817995538,0.00540276006744695,0.0022822066577896
11,5,"extratrees",0.193695361853433,0.874060436056477,0.139865025109328,0.00312316996014447,0.00434589418885556,0.00221759957289097
