"kmax","distance","kernel","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
5,2,"optimal",0.229450399900095,0.818728249608284,0.150273372895621,0.00649948382135796,0.0114654715654023,0.00361078708222644
7,2,"optimal",0.224451393661736,0.826024927576872,0.150672860577688,0.00606546445466005,0.0106726380677665,0.00344314503856223
9,2,"optimal",0.222545518839958,0.828930403977025,0.152111298023423,0.0057168889028812,0.0101007705659127,0.0033476073097556
