"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",0.247799626071908,0.793208501508109,0.188250656469209,0.0030538439419879,0.00596253178906367,0.00197294987842366
2,5,"extratrees",0.25733511296041,0.780690694842831,0.19803269711305,0.00343024840353572,0.00660828744212211,0.00243948563931148
6,5,"variance",0.224565334600371,0.827767701311672,0.164730150013418,0.00341499251818018,0.00603365852398777,0.00210608323512496
6,5,"extratrees",0.225623019665269,0.82856026008858,0.169042049497725,0.00326449438744537,0.0057280270690656,0.00225926912590265
11,5,"variance",0.214449218543737,0.84237671966354,0.15294780401656,0.00397927921601339,0.00645874237204426,0.00268202966599538
11,5,"extratrees",0.201494336566902,0.864037500826975,0.147908441800762,0.00319299018561308,0.00506234292290324,0.00213692167400113
